id,reference,label,strain,media,temperature,cell_count,end_lost,omit_count,end_single,end_small_bud,end_large_bud,end_cluster,lifespans,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,endCode,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,"","BY4742","LF960","YPD",30,20,0,0,10,3,0,7,21,13,33,23,29,28,24,35,30,19,28,34,29,22,36,23,27,19,26,18,U,C,U,C,U,C,S,U,C,U,U,U,U,U,C,C,U,S,S,C,
2,"","BY4742","LF960","YPD",30,20,0,0,11,2,2,5,25,37,36,13,21,31,27,28,27,21,16,25,23,17,13,12,22,15,20,29,C,C,C,S,U,S,U,U,L,U,C,U,U,U,U,U,L,U,C,U,
3,"","BY4742","LF960","YPD",30,20,0,0,13,2,2,3,33,21,17,29,21,26,23,20,19,42,26,30,18,35,19,18,6,31,32,34,U,U,U,C,U,U,U,U,L,U,C,S,U,U,S,U,L,U,C,U,
4,"1, 2, 3","BY4742","ST2658","YPD",30,20,0,0,15,2,1,2,26,21,23,20,15,17,24,19,26,22,18,13,19,18,17,33,20,26,26,13,U,U,U,U,U,S,C,U,U,L,U,U,U,U,C,U,U,S,U,U,
5,"1, 2, 3","BY4742","ST2658","YPD",30,20,0,0,14,3,1,2,31,32,18,32,21,26,37,33,29,24,13,19,15,8,26,41,14,19,22,38,U,U,C,U,U,U,U,L,U,S,U,S,U,U,C,U,U,U,S,U,
6,"1, 2, 3","BY4742","ST2658","YPD",30,20,0,0,20,0,0,0,32,25,28,23,21,27,16,29,26,37,27,26,38,35,32,22,40,24,34,22,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,
7,"1, 2, 3","BY4742","ST2659","YPD",30,20,0,0,8,1,2,9,26,20,30,26,22,16,39,34,28,18,39,21,24,24,15,38,29,19,25,34,C,C,C,C,C,U,U,L,C,S,U,U,U,U,C,U,L,C,C,U,
8,"1, 2, 3","BY4742","ST2659","YPD",30,20,0,0,13,3,2,2,40,11,31,13,20,28,41,31,21,38,36,8,10,37,9,31,22,31,30,22,U,U,C,S,U,U,U,U,S,C,S,U,U,U,L,U,L,U,U,U,
9,"1, 2, 3","BY4742","ST2659","YPD",30,20,0,0,14,2,3,1,26,22,23,19,5,33,35,18,22,24,8,25,25,31,23,23,30,21,23,16,U,U,U,S,U,U,S,L,U,L,U,C,U,L,U,U,U,U,U,U,
10,"1, 2, 3","BY4742","ST2660","YPD",30,20,0,0,15,0,0,5,19,15,31,26,42,34,39,41,23,33,37,17,22,24,18,24,27,28,16,23,U,U,U,C,U,U,U,U,C,U,U,U,U,U,U,U,U,C,C,C,
11,"1, 2, 3","BY4742","ST2660","YPD",30,20,0,0,9,4,3,4,19,21,33,20,8,22,33,25,9,35,35,23,26,38,17,27,28,24,32,21,S,L,U,C,C,U,U,L,U,U,U,S,S,S,C,U,U,C,U,L,
12,"1, 2, 3","BY4742","ST2660","YPD",30,20,0,0,13,3,3,1,28,20,27,17,15,12,18,40,24,16,21,24,29,18,31,24,49,19,18,32,U,U,U,S,U,U,L,U,U,U,U,U,S,U,C,L,U,L,S,U,
13,"1, 2, 3","BY4742","ST2661","YPD",30,20,0,0,18,2,0,0,21,30,21,24,34,22,23,50,30,33,19,15,25,29,29,17,18,43,16,24,S,U,U,U,S,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,
14,"1, 2, 3","BY4742","ST2661","YPD",30,20,0,0,14,1,3,2,30,19,27,17,38,19,16,29,24,29,26,15,29,39,20,33,13,29,22,17,U,U,L,U,U,U,U,U,S,U,U,U,C,U,L,U,U,L,C,U,
15,"1, 2, 3","BY4742","ST2661","YPD",30,20,0,0,15,1,3,1,15,42,43,29,20,25,28,29,31,34,23,12,17,22,24,37,21,39,39,14,U,U,U,L,S,C,U,U,U,U,L,U,U,U,U,U,U,U,L,U,
16,"1, 2, 3","BY4742","ST2662","YPD",30,20,0,0,17,2,0,1,42,33,27,44,42,42,11,33,39,27,21,31,50,46,42,9,21,39,51,22,U,U,S,U,U,U,S,U,C,U,U,U,U,U,U,U,U,U,U,U,
17,"1, 2, 3","BY4742","ST2662","YPD",30,20,0,0,18,2,0,0,35,51,42,31,41,49,31,35,24,32,22,34,12,37,46,33,27,44,25,22,U,U,U,U,U,U,U,S,U,U,U,S,U,U,U,U,U,U,U,U,
18,"1, 2, 3","BY4742","ST2662","YPD",30,20,0,0,16,2,1,1,26,43,53,9,39,24,24,40,52,38,37,48,19,20,29,46,22,39,28,50,S,U,U,U,S,U,U,L,U,U,C,U,U,U,U,U,U,U,U,U,
19,"1, 2, 3","BY4742","ST2663","YPD",30,20,0,0,10,3,3,4,23,28,5,18,21,34,30,27,15,37,14,21,37,21,18,19,26,29,28,17,C,U,L,L,L,U,U,C,C,S,U,U,U,S,S,U,U,U,U,C,
20,"1, 2, 3","BY4742","ST2663","YPD",30,20,0,0,10,3,1,6,16,17,28,28,38,18,23,33,21,23,28,26,31,29,26,22,24,24,31,17,S,C,S,C,U,S,C,U,U,U,U,C,U,L,C,C,U,U,U,U,
21,"1, 2, 3","BY4742","ST2663","YPD",30,20,0,0,12,5,2,1,22,26,23,20,14,30,23,14,35,33,37,17,26,28,25,37,16,8,18,38,U,U,L,U,C,U,S,S,U,S,U,S,U,U,U,U,U,L,S,U,
