"shortGenotype","media","temperature","background","matingType","pubmedId","citationSummary","comment"
"BY4742","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"aac1     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"aac3     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"abp1     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"aco1     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"acp1     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"act1     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"adh1     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research","Not long-lived when remade; original strain diploid"
"adh2     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"adh3     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"adh5     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"afg3     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"aga1     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"agc1     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"akl1     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"akr1     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"alg12     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"alg9     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"anb1     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"ark1     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"arp1     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"arp2     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"arp3     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"arp4     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"asf1     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"atg1     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"atp1     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"atp2     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"atp4     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"atp5     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"avo2     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"ayr1     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"bbc1     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"bcy1     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"bpt1     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"bsc1     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"bug1     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"cat5     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"cbf5     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"cbk1     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"cct2     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"cct3     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"cct4     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"cct5     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"cct6     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"cct7     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"cdc15     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"cdc16     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
"cdc23     ","YPD",,"BY4742","alpha",18340043,"Smith Kennedy 2008 Genome Research",
